timestamp_utc,open,high,low,close,tick_volume,spread,real_volume
2026-09-07T01:00:00Z,4426.09,4428.01,4421.99,4423.09,1231,18,0
2026-09-07T01:01:00Z,4423.18,4423.56,4420.13,4420.32,336,18,0
2026-09-07T01:02:00Z,4420.32,4420.32,4418.46,4419.98,197,24,0
2026-09-07T01:03:00Z,4419.98,4422.89,4417.49,4422.89,139,24,0
2026-09-07T01:04:00Z,4422.92,4422.92,4421.72,4422.28,84,24,0
2026-09-07T01:05:00Z,4422.28,4424.9,4422.02,4423.89,179,24,0
2026-09-07T01:06:00Z,4423.89,4424.45,4422.52,4423.05,149,24,0
2026-09-07T01:07:00Z,4423.05,4423.25,4422.15,4422.94,99,24,0
2026-09-07T01:08:00Z,4422.94,4425.84,4422.93,4424.51,160,24,0
2026-09-07T01:09:00Z,4424.51,4425.8,4424.51,4424.73,94,14,0
2026-09-07T01:10:00Z,4424.73,4424.73,4424.26,4424.45,65,24,0
2026-09-07T01:11:00Z,4424.45,4426.02,4424.45,4425.87,57,24,0
2026-09-07T01:12:00Z,4425.87,4428.24,4425.62,4428.13,151,30,0
2026-09-07T01:13:00Z,4428.12,4428.85,4427.77,4427.84,93,50,0
2026-09-07T01:14:00Z,4427.82,4428.87,4427.76,4428.8,72,50,0
2026-09-07T01:15:00Z,4428.75,4429.99,4428.6,4429.48,117,50,0
2026-09-07T01:16:00Z,4429.42,4429.43,4429.14,4429.32,41,50,0
2026-09-07T01:17:00Z,4429.36,4429.36,4427.87,4427.92,74,50,0
2026-09-07T01:18:00Z,4427.91,4428.61,4427.54,4428.46,59,50,0
2026-09-07T01:19:00Z,4428.46,4428.53,4427.75,4427.8,49,50,0
2026-09-07T01:20:00Z,4427.75,4427.88,4427.27,4427.73,52,50,0
2026-09-07T01:21:00Z,4427.68,4428.72,4427.57,4428.4,78,50,0
2026-09-07T01:22:00Z,4428.23,4429.67,4428.09,4428.87,107,50,0
2026-09-07T01:23:00Z,4428.6,4428.6,4427.65,4428.11,82,50,0
2026-09-07T01:24:00Z,4428.14,4428.74,4427.69,4428.34,81,50,0
2026-09-07T01:25:00Z,4428.4,4429.5,4426.96,4427.08,91,50,0
2026-09-07T01:26:00Z,4427.0,4428.59,4426.79,4428.18,79,50,0
2026-09-07T01:27:00Z,4428.74,4428.75,4428.03,4428.33,65,50,0
2026-09-07T01:28:00Z,4428.27,4429.76,4428.27,4429.38,80,50,0
2026-09-07T01:29:00Z,4429.38,4429.79,4428.54,4428.6,91,50,0
