timestamp_utc,open,high,low,close,tick_volume,spread,real_volume
2026-06-19T01:00:00Z,4211.28,4212.51,4208.12,4212.51,358,26,0
2026-06-19T01:01:00Z,4212.55,4213.49,4207.75,4207.85,198,26,0
2026-06-19T01:02:00Z,4207.63,4209.7,4207.63,4208.5,174,26,0
2026-06-19T01:03:00Z,4208.5,4208.54,4203.25,4205.57,155,26,0
2026-06-19T01:04:00Z,4205.57,4206.37,4204.84,4205.07,111,25,0
2026-06-19T01:05:00Z,4205.07,4208.14,4204.84,4208.06,52,25,0
2026-06-19T01:06:00Z,4208.06,4208.21,4206.38,4206.56,74,26,0
2026-06-19T01:07:00Z,4206.56,4207.41,4205.73,4205.78,58,25,0
2026-06-19T01:08:00Z,4206.07,4206.65,4205.07,4205.63,43,25,0
2026-06-19T01:09:00Z,4205.54,4207.07,4205.54,4206.69,47,25,0
2026-06-19T01:10:00Z,4206.69,4208.43,4206.69,4208.14,86,25,0
2026-06-19T01:11:00Z,4208.19,4208.47,4206.76,4206.79,69,25,0
2026-06-19T01:12:00Z,4206.81,4208.03,4206.67,4208.03,17,25,0
2026-06-19T01:13:00Z,4208.03,4208.45,4207.98,4208.37,25,25,0
2026-06-19T01:14:00Z,4208.37,4208.44,4208.06,4208.09,23,25,0
2026-06-19T01:15:00Z,4208.09,4210.12,4208.09,4209.59,98,25,0
2026-06-19T01:16:00Z,4209.59,4209.6,4207.69,4207.85,72,25,0
2026-06-19T01:17:00Z,4207.85,4208.26,4207.84,4207.94,60,25,0
2026-06-19T01:18:00Z,4207.94,4208.13,4206.0,4206.01,123,25,0
2026-06-19T01:19:00Z,4206.01,4206.63,4204.86,4205.84,119,25,0
2026-06-19T01:20:00Z,4205.84,4205.94,4204.26,4204.77,149,26,0
2026-06-19T01:21:00Z,4204.77,4205.5,4204.4,4204.53,80,25,0
2026-06-19T01:22:00Z,4204.5,4204.62,4203.32,4203.35,88,25,0
2026-06-19T01:23:00Z,4203.36,4203.59,4202.84,4203.1,121,25,0
2026-06-19T01:24:00Z,4203.11,4203.67,4203.07,4203.21,83,25,0
2026-06-19T01:25:00Z,4203.21,4205.8,4203.21,4205.66,128,25,0
2026-06-19T01:26:00Z,4205.66,4205.66,4203.94,4204.07,81,26,0
2026-06-19T01:27:00Z,4203.72,4203.72,4203.05,4203.07,88,26,0
2026-06-19T01:28:00Z,4203.07,4204.13,4203.07,4203.87,62,25,0
2026-06-19T01:29:00Z,4203.87,4204.35,4203.81,4204.16,90,25,0
2026-06-19T01:30:00Z,4203.84,4205.25,4203.72,4204.18,107,25,0
2026-06-19T01:31:00Z,4204.19,4205.18,4203.74,4205.04,70,26,0
2026-06-19T01:32:00Z,4205.09,4205.66,4204.48,4204.5,79,26,0
2026-06-19T01:33:00Z,4204.5,4205.38,4204.49,4204.78,95,26,0
2026-06-19T01:34:00Z,4204.78,4205.04,4204.46,4204.94,58,26,0
2026-06-19T01:35:00Z,4204.95,4205.62,4204.95,4205.6,50,25,0
2026-06-19T01:36:00Z,4205.55,4205.55,4204.55,4205.13,88,26,0
2026-06-19T01:37:00Z,4205.15,4205.23,4203.82,4204.03,96,26,0
2026-06-19T01:38:00Z,4204.03,4204.09,4203.69,4203.82,55,26,0
2026-06-19T01:39:00Z,4203.82,4203.92,4203.14,4203.48,76,25,0
2026-06-19T01:40:00Z,4203.49,4204.78,4203.31,4204.11,96,25,0
2026-06-19T01:41:00Z,4204.12,4205.0,4204.11,4204.54,79,26,0
2026-06-19T01:42:00Z,4204.54,4205.34,4204.49,4204.69,83,26,0
2026-06-19T01:43:00Z,4204.69,4205.17,4204.28,4204.28,69,26,0
2026-06-19T01:44:00Z,4204.36,4205.22,4204.36,4205.06,61,26,0
2026-06-19T01:45:00Z,4204.99,4205.63,4204.44,4204.58,129,26,0
2026-06-19T01:46:00Z,4204.56,4205.29,4204.54,4205.0,83,26,0
2026-06-19T01:47:00Z,4205.0,4205.0,4204.22,4204.32,58,26,0
2026-06-19T01:48:00Z,4204.71,4205.15,4204.63,4205.11,80,26,0
2026-06-19T01:49:00Z,4205.15,4209.12,4205.11,4208.64,159,26,0
2026-06-19T01:50:00Z,4208.62,4208.8,4207.52,4208.31,100,26,0
2026-06-19T01:51:00Z,4208.26,4210.54,4207.94,4210.47,143,26,0
2026-06-19T01:52:00Z,4210.47,4210.5,4208.94,4209.01,124,26,0
2026-06-19T01:53:00Z,4209.0,4209.93,4208.44,4209.4,107,26,0
2026-06-19T01:54:00Z,4209.38,4209.38,4208.71,4208.79,87,26,0
2026-06-19T01:55:00Z,4208.78,4208.78,4208.54,4208.57,42,25,0
2026-06-19T01:56:00Z,4208.57,4208.76,4208.19,4208.52,89,25,0
